               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  88,             0.95137,             0.47246,               1.002,             0.50801,             0.17118,             0.22698,             0.12866,              2.5376,              4.7106,              1.3134,            0.001387,            0.001387,            0.001387
                  89,             0.94071,             0.46757,             0.99566,             0.49875,             0.16699,             0.22481,             0.12729,              2.5364,              4.8045,              1.3115,            0.001288,            0.001288,            0.001288
                  90,             0.92159,             0.45921,             0.99738,             0.50203,             0.15571,             0.22241,             0.12552,              2.5468,              4.9307,               1.312,            0.001189,            0.001189,            0.001189
                  91,             0.92688,              0.4633,             0.99582,             0.42794,             0.17634,             0.21441,             0.11962,              2.5749,              5.0875,              1.3195,             0.00109,             0.00109,             0.00109
                  92,             0.91171,             0.45702,             0.99384,             0.38284,             0.18402,             0.20613,             0.11467,              2.5954,              5.1218,              1.3247,            0.000991,            0.000991,            0.000991
                  93,             0.91986,             0.45609,             0.99421,             0.35737,             0.19506,             0.20908,             0.11716,              2.6074,              5.1337,              1.3259,            0.000892,            0.000892,            0.000892
                  94,             0.90958,              0.4516,             0.99633,              0.2129,             0.27783,             0.20977,             0.11806,              2.6007,              5.1746,              1.3245,            0.000793,            0.000793,            0.000793
                  95,             0.89894,             0.44807,             0.99178,             0.17315,             0.30878,             0.21546,             0.12141,              2.5757,              5.1985,              1.3194,            0.000694,            0.000694,            0.000694
                  96,             0.89126,             0.44356,             0.99319,             0.17222,             0.30614,             0.21112,             0.11912,              2.5828,              5.2393,              1.3224,            0.000595,            0.000595,            0.000595
                  97,             0.89239,             0.44413,             0.99491,             0.16894,             0.30062,             0.20403,             0.11508,              2.5906,               5.272,              1.3266,            0.000496,            0.000496,            0.000496
                  98,             0.87354,             0.43785,             0.99207,             0.17132,             0.30038,             0.20502,              0.1153,              2.5999,              5.3026,              1.3276,            0.000397,            0.000397,            0.000397
                  99,             0.88136,             0.44218,             0.99292,             0.17268,             0.29726,             0.20413,              0.1147,              2.6162,              5.3681,              1.3311,            0.000298,            0.000298,            0.000298
